210909_091518
Conflict for bw of unused port in isolation=0, bw in codeployment=4.73, applist=plb fw, point=1,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw, point=2,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw, point=3,router3, eth3
conflict, bw difference=6.23, applist=plb pplb4d, point=4,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.19, applist=plb pplb4d, point=4,router11, eth2
conflict, bw difference=8.19, applist=plb pplb4d, point=4,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=4,router11, eth3
conflict, bw difference=6.17, applist=plb pplb4d, point=5,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.43, applist=plb pplb4d, point=5,router11, eth2
conflict, bw difference=8.43, applist=plb pplb4d, point=5,router11, eth2
conflict, bw difference=6.16, applist=plb pplb4d, point=6,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.52, applist=plb pplb4d, point=6,router11, eth2
conflict, bw difference=8.52, applist=plb pplb4d, point=6,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=6,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.70, applist=plb fw pplb4d, point=10,router3, eth3
conflict, bw difference=5.90, applist=plb fw pplb4d, point=10,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.18, applist=plb fw pplb4d, point=10,router11, eth2
conflict, bw difference=8.18, applist=plb fw pplb4d, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=11,router3, eth3
conflict, bw difference=5.97, applist=plb fw pplb4d, point=11,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=11,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=11,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=12,router3, eth3
conflict, bw difference=6.29, applist=plb fw pplb4d, point=12,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.92, applist=plb fw pplb4d, point=12,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=12,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=13,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.87, applist=plb fw pplb4d, point=13,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.69, applist=plb fw pplb4d, point=14,router3, eth3
conflict, bw difference=5.93, applist=plb fw pplb4d, point=14,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.11, applist=plb fw pplb4d, point=14,router11, eth2
conflict, bw difference=8.11, applist=plb fw pplb4d, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=14,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.73, applist=plb fw pplb4d, point=15,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=15,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.72, applist=plb fw pplb4d, point=15,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=16,router3, eth3
conflict, bw difference=6.13, applist=plb fw pplb4d, point=16,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.41, applist=plb fw pplb4d, point=16,router11, eth2
conflict, bw difference=8.41, applist=plb fw pplb4d, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=16,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.74, applist=plb fw pplb4d, point=17,router3, eth3
conflict, bw difference=9.81, applist=plb fw pplb4d, point=17,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=17,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=17,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=18,router3, eth3
conflict, bw difference=5.95, applist=plb fw pplb4d, point=18,router11, eth1
