210924_032434
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=15
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=16
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=16
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=16
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=16
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=16
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=16
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=17
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=17
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=17
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=17
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=17
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=17
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d hs, point=17,router11, eth3
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=18
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=18
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=18
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=18
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=18
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=18
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=19
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d hs, point=19,router11, eth3
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=21
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=21
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=21
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=21
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=21
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=21
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=22
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=22
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=22
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=22
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=22
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=22
Experiment finished at 210924_074213
