210722_163724
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=2, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=13
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4s plb hs, point=13,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=2, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=1, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=14
Conflict for bw of unused port in isolation=0, bw in codeployment=0.90, applist=pplb4s plb hs, point=14,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=1, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=2, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=15
Conflict for bw of unused port in isolation=0, bw in codeployment=4.74, applist=pplb4s plb hs, point=15,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=2, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=2, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=16
Conflict for bw of unused port in isolation=0, bw in codeployment=4.08, applist=pplb4s plb hs, point=16,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=2, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=1, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=17
Conflict for bw of unused port in isolation=0, bw in codeployment=4.60, applist=pplb4s plb hs, point=17,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=1, applist=pplb4s plb hs, point=17
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=1, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=18
Conflict for bw of unused port in isolation=0, bw in codeployment=4.75, applist=pplb4s plb hs, point=18,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=1, applist=pplb4s plb hs, point=18
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=1, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=19
Conflict for bw of unused port in isolation=0, bw in codeployment=4.61, applist=pplb4s plb hs, point=19,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=1, applist=pplb4s plb hs, point=19
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=1, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=20
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4s plb hs, point=20,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, applist=pplb4s plb hs, point=20
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=1, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=21
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=pplb4s plb hs, point=21,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=1, applist=pplb4s plb hs, point=21
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=22
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=22
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=22
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=22
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=22
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=1, applist=pplb4s plb hs, point=22
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=22
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=22
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4s plb hs, point=22,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=1, applist=pplb4s plb hs, point=22
Experiment finished at 210722_185928
