210721_134803
Conflict for bw of unused port in isolation=0, bw in codeployment=4.89, applist=plb fw, point=1,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=2,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=3,router3, eth3
conflict, bw difference=9.62, applist=plb pplb4d, point=4,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=4,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=5.02, applist=plb pplb4d, point=4,router11, eth3
conflict, bw difference=5.02, applist=plb pplb4d, point=4,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=5,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.65, applist=plb pplb4d, point=6,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=6,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=10,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.30, applist=plb fw pplb4d, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=10,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=11,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.66, applist=plb fw pplb4d, point=11,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=11,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=12,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.35, applist=plb fw pplb4d, point=12,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=13,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=3.09, applist=plb fw pplb4d, point=13,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=13,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=14,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=15,router3, eth3
conflict, bw difference=9.64, applist=plb fw pplb4d, point=15,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=15,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=5.09, applist=plb fw pplb4d, point=15,router11, eth3
conflict, bw difference=5.09, applist=plb fw pplb4d, point=15,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=16,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.39, applist=plb fw pplb4d, point=16,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=17,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.18, applist=plb fw pplb4d, point=17,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=17,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.67, applist=plb fw pplb4d, point=18,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=18,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=18,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.05, applist=plb fw pplb4d, point=19,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=19,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=20,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=20,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=20,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=21,router3, eth3
conflict, bw difference=9.60, applist=plb fw pplb4d, point=21,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.98, applist=plb fw pplb4d, point=21,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=5.00, applist=plb fw pplb4d, point=21,router11, eth3
conflict, bw difference=5.00, applist=plb fw pplb4d, point=21,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=22,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=22,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.67, applist=plb fw pplb4d, point=22,router11, eth3
Experiment finished at 210721_164945
