210927_051309
conflict, bw difference=, applist=pe plb fw, point=18,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=18,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=19,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=19,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=19,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=19,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=19,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=19,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=19,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=19,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=19,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=19,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=20,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=20,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=20,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=20,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=20,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=20,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=20,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=20,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=20,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=20,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=21,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=21,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=21,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=21,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=21,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=21,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=21,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=21,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=21,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=21,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=22,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=22,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=22,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=22,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=22,router44, eth3
conflict, bw difference=, applist=pe plb fw, point=22,router18, eth1
conflict, bw difference=, applist=pe plb fw, point=22,router18, eth2
conflict, bw difference=, applist=pe plb fw, point=22,router44, eth1
conflict, bw difference=, applist=pe plb fw, point=22,router44, eth2
conflict, bw difference=, applist=pe plb fw, point=22,router44, eth3
Experiment finished at 210927_054934
