210927_054937
conflict, bw difference=, applist=plb pe fw, point=14,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=14,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=14,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=14,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=15,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=15,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=15,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=15,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=15,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=15,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=15,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=15,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=15,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=15,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=16,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=16,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=16,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=16,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=16,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=16,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=16,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=16,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=16,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=16,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=17,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=17,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=17,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=17,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=17,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=17,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=17,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=17,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=17,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=17,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=18,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=18,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=18,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=18,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=18,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=18,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=18,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=18,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=18,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=18,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=19,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=19,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=19,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=19,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=19,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=19,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=19,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=19,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=19,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=19,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=20,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=20,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=20,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=20,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=20,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=20,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=20,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=20,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=20,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=20,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=21,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=21,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=21,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=21,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=21,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=21,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=21,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=21,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=21,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=21,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=22,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=22,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=22,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=22,router18, eth2
conflict, bw difference=, applist=plb pe fw, point=22,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=22,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=22,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=22,router44, eth1
conflict, bw difference=, applist=plb pe fw, point=22,router44, eth2
conflict, bw difference=, applist=plb pe fw, point=22,router44, eth3
Experiment finished at 210927_062559
