210721_042007
Conflict for bw of unused port in isolation=0, bw in codeployment=4.65, applist=fw plb, point=1,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=6.31, applist=fw plb, point=2,router3, eth3
conflict, bw difference=6.31, applist=fw plb, point=2,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=7,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=8,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.68, applist=plb pplb4d, point=9,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d, point=9,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.70, applist=fw plb pplb4d, point=10,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.68, applist=fw plb pplb4d, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.79, applist=fw plb pplb4d, point=11,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.74, applist=fw plb pplb4d, point=13,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=14,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=14,router11, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=15,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.30, applist=fw plb pplb4d, point=15,router11, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=16,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=17,router3, eth3
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=4, applist=fw plb pplb4d, point=17
Conflict for bw of unused port in isolation=0, bw in codeployment=4.86, applist=fw plb pplb4d, point=18,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=18,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=19,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.92, applist=fw plb pplb4d, point=20,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.38, applist=fw plb pplb4d, point=20,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.16, applist=fw plb pplb4d, point=22,router3, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=22,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.49, applist=fw plb pplb4d, point=22,router11, eth2
Experiment finished at 210721_072303
