210728_234344
Conflict for bw of used port in isolation=4.97, bw in codeployment=0, applist=hs plb, point=1,router11, eth1
Conflict for bw of used port in isolation=5.29, bw in codeployment=0, applist=hs plb, point=1,router11, eth4
conflict, bw difference=5.29, applist=hs plb, point=1,router11, eth4
Conflict for bw of used port in isolation=4.97, bw in codeployment=0, applist=hs plb, point=2,router11, eth1
Conflict for bw of used port in isolation=5.29, bw in codeployment=0, applist=hs plb, point=2,router11, eth4
conflict, bw difference=5.29, applist=hs plb, point=2,router11, eth4
Conflict for bw of used port in isolation=4.97, bw in codeployment=0, applist=hs plb, point=3,router11, eth1
Conflict for bw of used port in isolation=5.29, bw in codeployment=0, applist=hs plb, point=3,router11, eth4
conflict, bw difference=5.29, applist=hs plb, point=3,router11, eth4
Experiment finished at 210729_002147
