conflict, bw difference=7.73, point=2,router5, eth5
conflict, bw difference=5.26, point=2,router6, eth3
conflict, bw difference=9.81, point=2,router6, eth5
conflict, bw difference=7.54, point=3,router7, eth4
conflict, bw difference=7.89, point=5,router5, eth5
conflict, bw difference=9.81, point=5,router6, eth5
conflict, bw difference=7.89, point=6,router5, eth5
conflict, bw difference=7.03, point=6,router6, eth2
conflict, bw difference=7.39, point=6,router6, eth5
conflict, bw difference=5.00, point=7,router7, eth3
conflict, bw difference=7.54, point=16,router7, eth4
conflict, bw difference=7.78, point=17,router5, eth5
conflict, bw difference=5.26, point=17,router6, eth3
conflict, bw difference=9.82, point=17,router6, eth5
conflict, bw difference=7.54, point=18,router7, eth4
conflict, bw difference=7.64, point=20,router5, eth5
conflict, bw difference=5.37, point=20,router6, eth3
conflict, bw difference=9.82, point=20,router6, eth5
conflict, bw difference=7.91, point=21,router5, eth5
conflict, bw difference=5.31, point=21,router6, eth3
conflict, bw difference=7.74, point=21,router6, eth5
conflict, bw difference=7.27, point=22,router5, eth5
conflict, bw difference=7.40, point=22,router6, eth2
conflict, bw difference=7.36, point=22,router6, eth5
conflict, bw difference=7.33, point=24,router5, eth5
conflict, bw difference=7.42, point=24,router6, eth5
conflict, bw difference=5.05, point=26,router5, eth2
conflict, bw difference=7.85, point=26,router5, eth5
conflict, bw difference=7.35, point=26,router6, eth2
conflict, bw difference=7.72, point=26,router6, eth5
conflict, bw difference=5.02, point=27,router7, eth3
conflict, bw difference=7.94, point=27,router5, eth5
conflict, bw difference=7.48, point=27,router6, eth2
conflict, bw difference=7.49, point=27,router6, eth5
conflict, bw difference=7.79, point=28,router5, eth5
conflict, bw difference=7.16, point=28,router6, eth2
conflict, bw difference=7.77, point=28,router6, eth5
conflict, bw difference=7.95, point=29,router5, eth5
conflict, bw difference=7.47, point=29,router6, eth5
conflict, bw difference=5.08, point=31,router7, eth3
conflict, bw difference=7.98, point=31,router5, eth5
conflict, bw difference=5.23, point=31,router6, eth3
conflict, bw difference=9.81, point=31,router6, eth5
conflict, bw difference=7.21, point=32,router5, eth5
conflict, bw difference=5.17, point=32,router6, eth2
conflict, bw difference=5.31, point=32,router6, eth3
conflict, bw difference=7.32, point=32,router6, eth5
conflict, bw difference=7.69, point=33,router5, eth5
conflict, bw difference=5.33, point=33,router6, eth3
conflict, bw difference=9.81, point=33,router6, eth5
conflict, bw difference=7.63, point=34,router5, eth5
conflict, bw difference=7.52, point=34,router6, eth2
conflict, bw difference=7.51, point=34,router6, eth5
conflict, bw difference=5.04, point=35,router7, eth3
conflict, bw difference=7.99, point=35,router5, eth5
conflict, bw difference=9.80, point=35,router6, eth5
conflict, bw difference=5.08, point=36,router7, eth3
conflict, bw difference=7.91, point=36,router5, eth5
conflict, bw difference=5.28, point=36,router6, eth3
conflict, bw difference=7.65, point=36,router6, eth5
conflict, bw difference=5.04, point=37,router7, eth3
conflict, bw difference=7.99, point=37,router5, eth5
conflict, bw difference=9.81, point=37,router6, eth5
conflict, bw difference=7.91, point=38,router5, eth5
conflict, bw difference=5.00, point=38,router6, eth3
conflict, bw difference=9.81, point=38,router6, eth5
conflict, bw difference=7.54, point=39,router7, eth4
conflict, bw difference=7.18, point=40,router5, eth5
conflict, bw difference=6.94, point=40,router6, eth2
conflict, bw difference=7.30, point=40,router6, eth5
conflict, bw difference=5.44, point=41,router5, eth5
